"","core.id","Sample.Tree","plot","core.x","core.y","soil.mass","dry.mass","sample.id","soil.dry.mass.conv","nh.con","no.con","core.id.mrg"
"133","LEPP_T_13.1","LEPP _ 13","LEPP",31.91950424,108.7844297,5.09,2.96497755425,13.1,0.582510325,1487.7465,0,"LEPP _T_ 13.1"
"134","LEPP_T_13.2","LEPP _ 13","LEPP",33.52871649,110.4589999,4.86,2.8310001795,13.2,0.582510325,924.4914,0,"LEPP _T_ 13.2"
"135","LEPP_T_13.3","LEPP _ 13","LEPP",32.99207542,109.3642084,4.95,2.88342610875,13.3,0.582510325,1878.92,53.7415,"LEPP _T_ 13.3"
"136","LEPP_T_14.1","LEPP _ 14","LEPP",15.53523674,121.0176024,5.12,3.01663846912,14.1,0.589187201,1227.113,122.1337,"LEPP _T_ 14.1"
"137","LEPP_T_14.2","LEPP _ 14","LEPP",17.58799333,122.1038528,5.07,2.98717910907,14.2,0.589187201,1303.4645,0,"LEPP _T_ 14.2"
"138","LEPP_T_14.3","LEPP _ 14","LEPP",16.73543704,121.2322451,4.96,2.92236851696,14.3,0.589187201,2215.079,21.185,"LEPP _T_ 14.3"
"139","LEPP_T_15.1","LEPP _ 15","LEPP",25.91047932,126.3543729,5.14,3.09666865566,15.1,0.602464719,2257.331,71.30915,"LEPP _T_ 15.1"
"140","LEPP_T_15.2","LEPP _ 15","LEPP",25.31647941,125.2896117,5.11,3.07859471409,15.2,0.602464719,1740.268,0,"LEPP _T_ 15.2"
"141","LEPP_T_15.3","LEPP _ 15","LEPP",25.7758905,127.5661641,4.95,2.98220035905,15.3,0.602464719,1611.9005,146.2536,"LEPP _T_ 15.3"
"142","LEPP_T_16.1","LEPP _ 16","LEPP",24.20177538,121.5993047,5.14,3.07151937068,16.1,0.597571862,1309.197,243.76195,"LEPP _T_ 16.1"
"143","LEPP_T_16.2","LEPP _ 16","LEPP",24.04778136,123.9166384,5.03,3.00578646586,16.2,0.597571862,3003.0015,220.55335,"LEPP _T_ 16.2"
"144","LEPP_T_16.3","LEPP _ 16","LEPP",24.49559856,122.7826137,4.99,2.98188359138,16.3,0.597571862,2431.9155,176.5537,"LEPP _T_ 16.3"
"145","LEPP_T_17.1","LEPP _ 17","LEPP",24.76117328,156.2716031,5.17,3.22359905142,17.1,0.623520126,1511.5365,1079.433,"LEPP _T_ 17.1"
"146","LEPP_T_17.2","LEPP _ 17","LEPP",23.59993971,155.9,5.18,3.22983425268,17.2,0.623520126,822.1027,0,"LEPP _T_ 17.2"
"147","LEPP_T_17.3","LEPP _ 17","LEPP",25.49087067,157.2483804,4.97,3.09889502622,17.3,0.623520126,1969,182.83935,"LEPP _T_ 17.3"
"148","LEPP_T_18.1","LEPP _ 18","LEPP",16.15337603,152.4256773,5.04,3.022264728,18.1,0.5996557,2257.5785,67.27985,"LEPP _T_ 18.1"
"149","LEPP_T_18.2","LEPP _ 18","LEPP",15.91222935,153.6208344,5.03,3.016268171,18.2,0.5996557,1524.031,0,"LEPP _T_ 18.2"
"150","LEPP_T_18.3","LEPP _ 18","LEPP",17.04363466,151.5926156,4.91,2.944309487,18.3,0.5996557,1793.92,0,"LEPP _T_ 18.3"
"151","LEPP_T_19.1","LEPP _ 19","LEPP",30.67673737,172.7078243,4.99,3.04296282311,19.1,0.609812189,1692.3165,5.6768,"LEPP _T_ 19.1"
"152","LEPP_T_19.2","LEPP _ 19","LEPP",29.48721673,172.9753928,4.94,3.01247221366,19.2,0.609812189,2200.21,272.9339,"LEPP _T_ 19.2"
"153","LEPP_T_19.3","LEPP _ 19","LEPP",31.80057568,173.1806242,5.13,3.12833652957,19.3,0.609812189,2313.4605,93.38955,"LEPP _T_ 19.3"
"154","LEPP_T_2.1","LEPP _ 2","LEPP",33.19559856,13.53261372,5,3.07074555833333,2.1,0.614149111666667,1171.859,75.7246,"LEPP _T_ 2.1"
"155","LEPP_T_2.2","LEPP _ 2","LEPP",32.90177538,12.34930472,5.17,3.17515090731667,2.2,0.614149111666667,1487.416,0,"LEPP _T_ 2.2"
"156","LEPP_T_2.3","LEPP _ 2","LEPP",32.74778136,14.66663841,5.04,3.0953115228,2.3,0.614149111666667,3586.353,258.42965,"LEPP _T_ 2.3"
"157","LEPP_T_20.1","LEPP _ 20","LEPP",35.04778136,175.2666384,5.15,3.12152867595,20.1,0.606122073,1569.401,268.9046,"LEPP _T_ 20.1"
"158","LEPP_T_20.2","LEPP _ 20","LEPP",35.49559856,174.1326137,5.03,3.04879402719,20.2,0.606122073,1699.627,64.2176,"LEPP _T_ 20.2"
"159","LEPP_T_20.3","LEPP _ 20","LEPP",35.20177538,172.9493047,5.14,3.11546745522,20.3,0.606122073,NA,NA,"LEPP _T_ 20.3"
"160","LEPP_T_3.1","LEPP _ 3","LEPP",12.19769473,28.10307986,5.18,2.91204343000667,3.1,0.562170546333333,1789.97,122.1656,"LEPP _T_ 3.1"
"161","LEPP_T_3.2","LEPP _ 3","LEPP",11.80048832,29.25580676,5.19,2.91766513547,3.2,0.562170546333333,1798.161,116.6038,"LEPP _T_ 3.2"
"162","LEPP_T_3.3","LEPP _ 3","LEPP",13.19037876,27.39517404,4.98,2.79960932074,3.3,0.562170546333333,948.87895,111.93515,"LEPP _T_ 3.3"
"163","LEPP_T_4.1","LEPP _ 4","LEPP",18.40062148,25.31933662,4.94,2.98198574301333,4.1,0.603640838666667,1197.9675,36.93105,"LEPP _T_ 4.1"
"164","LEPP_T_4.2","LEPP _ 4","LEPP",16.08726872,25.52463774,4.96,2.99405855978667,4.2,0.603640838666667,921.4198,0,"LEPP _T_ 4.2"
"165","LEPP_T_4.3","LEPP _ 4","LEPP",17.27679742,25.79217034,5.07,3.06045905204,4.3,0.603640838666667,1134.692,150.8089,"LEPP _T_ 4.3"
"166","LEPP_T_5.1","LEPP _ 5","LEPP",15.24363466,64.14261559,5.05,2.8558817974,5.1,0.565521148,1275.065,141.3538,"LEPP _T_ 5.1"
"167","LEPP_T_5.2","LEPP _ 5","LEPP",14.35337603,64.9756773,5.03,2.84457137444,5.2,0.565521148,1204.0085,65.1572,"LEPP _T_ 5.2"
"168","LEPP_T_5.3","LEPP _ 5","LEPP",14.11222935,66.17083441,5.03,2.84457137444,5.3,0.565521148,1876.385,207.40015,"LEPP _T_ 5.3"
